,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2010-01-04,1402.93,1355.31,1406.45,1353.55,241923,580249472.0,3.79,-2.78,-38.8,0.83
1,2010-01-05,1357.66,1331.21,1366.48,1298.88,556500,1293476992.0,4.99,-1.78,-24.1,1.9
2,2010-01-06,1328.27,1307.7,1328.27,1297.12,412143,944453696.0,2.34,-1.77,-23.51,1.41
3,2010-01-07,1307.7,1293.0,1316.51,1278.3,355337,804166336.0,2.92,-1.12,-14.7,1.22
4,2010-01-08,1284.18,1290.06,1298.88,1275.37,288543,650667392.0,1.82,-0.23,-2.94,0.99
5,2010-01-11,1342.97,1290.06,1353.55,1271.25,442846,1009985536.0,6.38,0.0,0.0,1.51
6,2010-01-12,1288.3,1281.24,1293.0,1243.03,591796,1310068992.0,3.87,-0.68,-8.82,2.02
7,2010-01-13,1247.15,1193.65,1248.91,1184.25,935039,1990492672.0,5.05,-6.84,-87.59,3.2
8,2010-01-14,1196.01,1194.24,1205.41,1172.49,521195,1089329408.0,2.76,0.05,0.59,1.78
9,2010-01-15,1197.18,1221.28,1234.22,1175.43,539508,1146375296.0,4.92,2.26,27.04,1.85
10,2010-01-18,1221.28,1223.63,1240.68,1208.35,349127,749941248.0,2.65,0.19,2.35,1.19
11,2010-01-19,1230.1,1268.31,1274.78,1228.93,650715,1438886656.0,3.75,3.65,44.68,2.23
12,2010-01-20,1267.72,1218.34,1290.06,1213.64,490836,1079325952.0,6.03,-3.94,-49.97,1.68
13,2010-01-21,1230.1,1294.76,1301.82,1218.34,632301,1405279488.0,6.85,6.27,76.42,2.16
14,2010-01-22,1280.66,1318.28,1340.03,1247.74,882539,2002921984.0,7.13,1.82,23.52,3.02
15,2010-01-25,1290.06,1265.96,1319.45,1260.67,356059,803320192.0,4.46,-3.97,-52.32,1.22
16,2010-01-26,1265.96,1257.73,1289.47,1231.28,345326,760432384.0,4.6,-0.65,-8.23,1.18
17,2010-01-27,1277.72,1249.5,1290.06,1237.16,401035,892337344.0,4.21,-0.65,-8.23,1.37
18,2010-01-28,1243.03,1240.09,1257.73,1202.47,262132,567566976.0,4.42,-0.75,-9.41,0.9
19,2010-01-29,1230.69,1237.16,1275.37,1214.82,240688,528437728.0,4.88,-0.24,-2.93,0.82
20,2010-02-01,1237.74,1210.11,1241.27,1196.01,283180,602675200.0,3.66,-2.19,-27.05,0.97
21,2010-02-02,1211.29,1217.76,1252.44,1211.29,286734,620475776.0,3.4,0.63,7.65,0.98
22,2010-02-03,1227.16,1288.89,1288.89,1210.11,549006,1214267904.0,6.47,5.84,71.13,1.88
23,2010-02-04,1274.19,1266.55,1281.24,1255.38,303346,675283328.0,2.01,-1.73,-22.34,1.04
24,2010-02-05,1232.45,1254.79,1273.6,1220.11,276174,601515200.0,4.22,-0.93,-11.76,0.94
25,2010-02-08,1247.74,1228.93,1259.49,1222.46,206423,447137536.0,2.95,-2.06,-25.86,0.71
26,2010-02-09,1231.28,1254.79,1263.61,1227.16,248170,543120256.0,2.97,2.1,25.86,0.85
27,2010-02-10,1266.55,1271.25,1277.13,1255.97,253840,564177472.0,1.69,1.31,16.46,0.87
28,2010-02-11,1267.14,1261.26,1275.37,1259.49,139102,308844864.0,1.25,-0.79,-9.99,0.48
29,2010-02-12,1264.78,1281.24,1290.06,1264.78,188386,422488288.0,2.0,1.58,19.98,0.64
30,2010-02-22,1273.01,1260.67,1281.24,1259.49,165778,367933696.0,1.7,-1.61,-20.57,0.57
31,2010-02-23,1256.55,1228.34,1257.73,1219.52,237781,513377920.0,3.03,-2.56,-32.33,0.81
32,2010-02-24,1220.11,1237.74,1242.45,1208.94,231486,497531456.0,2.73,0.77,9.4,0.79
33,2010-02-25,1235.39,1263.61,1278.89,1231.86,347879,770836544.0,3.8,2.09,25.87,1.19
34,2010-02-26,1255.38,1281.24,1291.24,1253.61,450217,1008966464.0,2.98,1.4,17.63,1.54
35,2010-03-02,1307.11,1320.04,1370.01,1307.11,684647,1599219840.0,4.91,3.03,38.8,2.34
36,2010-03-03,1320.04,1331.21,1334.15,1301.82,284111,655444672.0,2.45,0.85,11.17,0.97
37,2010-03-04,1332.39,1319.45,1350.61,1313.58,376321,877389760.0,2.78,-0.88,-11.76,1.29
38,2010-03-05,1319.45,1329.45,1342.38,1316.51,291842,681193920.0,1.96,0.76,10.0,1.0
39,2010-03-08,1332.39,1363.54,1375.3,1317.1,441054,1045698944.0,4.38,2.56,34.09,1.51
40,2010-03-09,1365.31,1361.78,1388.23,1342.97,394360,943966336.0,3.32,-0.13,-1.76,1.35
41,2010-03-10,1355.31,1337.09,1377.06,1334.15,211059,499356448.0,3.15,-1.81,-24.69,0.72
42,2010-03-11,1345.91,1352.37,1370.6,1336.5,241218,571453952.0,2.55,1.14,15.28,0.82
43,2010-03-12,1345.91,1308.87,1345.91,1306.52,283073,655910208.0,2.91,-3.22,-43.5,0.97
44,2010-03-15,1306.52,1277.72,1306.52,1266.55,189090,424857088.0,3.05,-2.38,-31.15,0.65
45,2010-03-16,1277.72,1287.12,1291.82,1268.9,196849,441221888.0,1.79,0.74,9.4,0.67
46,2010-03-17,1291.24,1324.74,1325.33,1281.83,192860,441162464.0,3.38,2.92,37.62,0.66
47,2010-03-18,1328.27,1316.51,1342.97,1312.4,218152,507527264.0,2.31,-0.62,-8.23,0.75
48,2010-03-19,1316.51,1315.93,1325.33,1295.94,176615,404284736.0,2.23,-0.04,-0.58,0.6
49,2010-03-22,1309.46,1322.39,1338.26,1309.46,195257,453198688.0,2.19,0.49,6.46,0.67
50,2010-03-23,1325.33,1303.58,1328.86,1296.53,159349,365560032.0,2.44,-1.42,-18.81,0.54
51,2010-03-24,1304.76,1301.82,1325.33,1298.29,210983,484336288.0,2.07,-0.14,-1.76,0.72
52,2010-03-25,1299.47,1272.43,1300.05,1271.25,166074,372184256.0,2.21,-2.26,-29.39,0.57
53,2010-03-26,1272.43,1302.41,1318.87,1264.78,223461,509149248.0,4.25,2.36,29.98,0.76
54,2010-03-29,1311.22,1346.49,1364.13,1301.23,444163,1044826240.0,4.83,3.38,44.08,1.52
55,2010-03-30,1350.61,1351.79,1359.43,1333.56,253043,595446912.0,1.92,0.39,5.3,0.87
56,2010-03-31,1351.79,1325.33,1352.96,1318.28,305550,710514240.0,2.57,-1.96,-26.46,1.04
57,2010-04-01,1329.45,1337.09,1348.85,1317.69,305159,712145600.0,2.35,0.89,11.76,1.04
58,2010-04-02,1340.62,1338.85,1342.97,1325.92,195900,457640288.0,1.28,0.13,1.76,0.67
59,2010-04-06,1346.49,1335.33,1364.13,1328.86,236509,556583872.0,2.63,-0.26,-3.52,0.81
60,2010-04-07,1334.15,1304.76,1338.85,1294.76,318422,730335808.0,3.3,-2.29,-30.57,1.09
61,2010-04-08,1302.99,1288.3,1303.58,1273.6,448387,1009933568.0,2.3,-1.26,-16.46,1.53
62,2010-04-09,1288.3,1293.59,1298.29,1284.18,220410,498836800.0,1.1,0.41,5.29,0.75
63,2010-04-12,1297.12,1260.08,1299.47,1251.26,494771,1098010880.0,3.73,-2.59,-33.51,1.69
64,2010-04-13,1264.78,1278.3,1290.65,1257.73,449187,1003910784.0,2.61,1.45,18.22,1.54
65,2010-04-14,1278.3,1268.31,1281.24,1256.55,331852,734720512.0,1.93,-0.78,-9.99,1.13
66,2010-04-15,1271.25,1278.3,1278.3,1253.61,357018,790372992.0,1.95,0.79,9.99,1.22
67,2010-04-16,1271.25,1255.38,1271.25,1253.61,286468,632291264.0,1.38,-1.79,-22.92,0.98
68,2010-04-19,1228.34,1141.92,1230.1,1136.63,826874,1708546688.0,7.45,-9.04,-113.46,2.83
69,2010-04-20,1144.28,1123.7,1156.62,1107.83,435134,858886272.0,4.27,-1.6,-18.22,1.49
70,2010-04-21,1126.05,1144.86,1146.63,1113.71,373588,742144448.0,2.93,1.88,21.16,1.28
71,2010-04-22,1137.22,1113.12,1137.22,1096.66,452210,884329088.0,3.54,-2.77,-31.74,1.55
72,2010-04-23,1116.06,1146.63,1170.14,1101.36,556046,1106582144.0,6.18,3.01,33.51,1.9
73,2010-04-26,1137.22,1133.69,1157.8,1119.59,322315,647506048.0,3.33,-1.13,-12.94,1.1
74,2010-04-27,1124.29,1128.4,1149.57,1110.77,348904,692500032.0,3.42,-0.47,-5.29,1.19
75,2010-04-28,1121.94,1145.45,1147.8,1113.71,334939,668218624.0,3.02,1.51,17.05,1.15
76,2010-04-29,1156.03,1147.21,1174.26,1144.86,368242,749244096.0,2.57,0.15,1.76,1.26
77,2010-04-30,1151.92,1170.14,1171.9,1145.45,324345,662829184.0,2.31,2.0,22.93,1.11
78,2010-05-04,1143.1,1137.22,1154.86,1123.7,286747,574413568.0,2.66,-2.81,-32.92,0.98
79,2010-05-05,1142.51,1131.34,1150.15,1099.6,650422,1283692544.0,4.45,-0.52,-5.88,2.22
80,2010-05-06,1119.0,1043.17,1119.0,1037.88,685797,1296218496.0,7.17,-7.79,-88.17,2.35
81,2010-05-07,1021.42,1034.94,1051.98,1016.71,412580,752185920.0,3.38,-0.79,-8.23,1.41
82,2010-05-10,1040.23,1044.93,1059.63,1030.82,386417,710974016.0,2.78,0.97,9.99,1.32
83,2010-05-11,1070.21,988.5,1071.97,987.91,561717,1017121600.0,8.04,-5.4,-56.43,1.92
84,2010-05-12,978.5,1026.12,1037.29,970.27,521041,931251264.0,6.78,3.81,37.62,1.78
85,2010-05-13,1020.24,1059.63,1073.73,1019.65,567527,1049525952.0,5.27,3.27,33.51,1.94
86,2010-05-14,1059.63,1040.23,1060.21,1031.41,265628,487732512.0,2.72,-1.83,-19.4,0.91
87,2010-05-17,1019.65,986.15,1020.83,980.85,326608,574713344.0,3.84,-5.2,-54.08,1.12
88,2010-05-18,990.26,1017.89,1026.12,978.5,361901,641553728.0,4.83,3.22,31.74,1.24
89,2010-05-19,1004.37,1005.54,1029.65,984.97,256356,456208288.0,4.39,-1.21,-12.35,0.88
90,2010-05-20,994.38,993.2,1022.59,989.08,218289,387168256.0,3.33,-1.23,-12.34,0.75
91,2010-05-21,966.75,1009.07,1012.01,962.04,220795,386738336.0,5.03,1.6,15.87,0.76
92,2010-05-24,1014.95,1042.58,1054.92,1014.95,317916,582619392.0,3.96,3.32,33.51,1.09
93,2010-05-25,1031.41,1007.31,1034.35,1004.96,245946,441872576.0,2.82,-3.38,-35.27,0.84
94,2010-05-26,1012.6,1013.77,1029.65,1008.48,171611,308368928.0,2.1,0.64,6.46,0.59
95,2010-05-27,1012.01,1023.77,1026.71,987.91,278167,496702080.0,3.83,0.99,10.0,0.95
96,2010-05-28,1034.35,1024.36,1042.58,1020.83,253974,461689408.0,2.12,0.06,0.59,0.87
97,2010-05-31,1013.77,990.85,1031.41,990.26,270458,480683776.0,4.02,-3.27,-33.51,0.92
98,2010-06-01,986.15,978.5,1001.43,972.04,218091,379058912.0,2.97,-1.25,-12.35,0.75
99,2010-06-02,975.56,974.39,984.97,956.17,251256,430720704.0,2.94,-0.42,-4.11,0.86
100,2010-06-03,979.09,973.8,1002.6,973.8,287562,501143168.0,2.96,-0.06,-0.59,0.98
101,2010-06-04,973.21,978.5,990.26,970.27,134735,232824768.0,2.05,0.48,4.7,0.46
102,2010-06-07,966.75,955.58,978.5,949.7,241493,410550912.0,2.94,-2.34,-22.92,0.83
103,2010-06-08,956.17,943.23,962.04,931.48,170330,286156160.0,3.2,-1.29,-12.35,0.58
104,2010-06-09,948.52,1000.25,1007.31,936.18,495744,857978624.0,7.54,6.05,57.02,1.7
105,2010-06-10,976.74,967.33,988.5,965.57,284641,489563040.0,2.29,-3.29,-32.92,0.97
106,2010-06-11,973.21,969.69,987.91,960.87,209983,362292832.0,2.8,0.24,2.36,0.72
107,2010-06-18,972.04,979.68,1004.96,969.69,448493,785248768.0,3.64,1.03,9.99,1.53
108,2010-06-21,979.09,1037.29,1050.22,979.09,589807,1063389312.0,7.26,5.88,57.61,2.02
109,2010-06-22,1034.35,1050.81,1067.86,1026.12,417138,770488704.0,4.02,1.3,13.52,1.43
110,2010-06-23,1037.29,1040.23,1056.1,1027.29,324680,597274368.0,2.74,-1.01,-10.58,1.11
111,2010-06-24,1037.29,1050.81,1067.27,1033.17,233515,432905280.0,3.28,1.02,10.58,0.8
112,2010-06-25,1042.58,1026.12,1049.04,1021.42,227503,415194016.0,2.63,-2.35,-24.69,0.78
113,2010-06-28,1022.59,1048.46,1054.92,1022.59,244148,448791840.0,3.15,2.18,22.34,0.79
114,2010-06-29,1050.81,990.85,1050.81,990.26,306683,549134848.0,5.78,-5.49,-57.61,0.99
115,2010-09-02,1078.44,1030.82,1078.44,1013.19,1634542,2984708608.0,6.59,4.03,39.97,5.26
116,2010-09-03,1029.65,1005.54,1029.65,1000.25,624129,1110873728.0,2.85,-2.45,-25.28,2.01
117,2010-09-06,1011.42,1031.41,1042.58,1006.13,609070,1106419456.0,3.62,2.57,25.87,1.96
118,2010-09-07,1039.64,1022.0,1039.64,1016.13,392853,711274624.0,2.28,-0.91,-9.41,1.27
119,2010-09-08,1014.36,999.08,1014.36,990.85,490036,865664640.0,2.3,-2.24,-22.92,1.58
120,2010-09-09,999.08,973.8,999.08,970.86,469898,816937856.0,2.82,-2.53,-25.28,1.51
121,2010-09-10,970.27,972.62,984.97,960.87,251848,432519200.0,2.47,-0.12,-1.18,0.81
122,2010-09-13,973.21,966.16,984.38,947.94,502228,856767616.0,3.75,-0.66,-6.46,1.62
123,2010-09-14,969.69,971.45,982.03,966.16,299495,516196352.0,1.64,0.55,5.29,0.96
124,2010-09-15,972.62,956.17,977.92,956.17,259236,443804448.0,2.24,-1.57,-15.28,0.83
125,2010-09-16,960.87,939.12,969.1,934.41,286076,478304192.0,3.63,-1.78,-17.05,0.92
126,2010-09-17,941.47,940.29,954.99,937.94,220793,369835360.0,1.82,0.12,1.17,0.71
127,2010-09-20,941.47,943.23,957.34,932.06,197687,330479008.0,2.69,0.31,2.94,0.64
128,2010-09-21,947.94,937.94,950.87,934.41,133992,223281920.0,1.75,-0.56,-5.29,0.43
129,2010-09-27,939.71,942.64,946.17,927.36,188332,312453344.0,2.01,0.5,4.7,0.61
130,2010-09-28,941.47,917.37,941.47,917.37,246526,404817184.0,2.56,-2.68,-25.27,0.79
131,2010-09-29,915.02,915.02,927.36,908.55,213476,347260768.0,2.05,-0.26,-2.35,0.69
132,2010-10-08,943.23,973.8,980.85,931.48,536716,914838848.0,5.4,6.42,58.78,1.73
133,2010-10-11,979.68,1022.0,1040.81,979.68,874030,1564391680.0,6.28,4.95,48.2,2.81
134,2010-10-12,1023.18,1017.89,1028.47,1007.9,477594,856881088.0,2.01,-0.4,-4.11,1.54
135,2010-10-13,1019.06,1051.4,1051.98,1017.89,825962,1514394496.0,3.35,3.29,33.51,2.66
136,2010-10-14,1057.86,1039.64,1095.48,1037.88,1003749,1889045248.0,5.48,-1.12,-11.76,3.23
137,2010-10-15,1031.41,1087.25,1100.78,1030.23,1168938,2220512256.0,6.79,4.58,47.61,3.76
138,2010-10-18,1101.95,1088.43,1140.75,1084.32,1074082,2102793984.0,5.19,0.11,1.18,3.46
139,2010-10-19,1085.49,1110.77,1115.47,1068.44,580719,1107907840.0,4.32,2.05,22.34,1.87
140,2010-10-20,1087.25,1106.07,1136.05,1087.25,739727,1448845952.0,4.39,-0.42,-4.7,2.38
141,2010-10-21,1106.07,1069.62,1107.83,1064.92,555000,1052712896.0,3.88,-3.3,-36.45,1.79
142,2010-10-22,1051.98,1050.22,1067.27,1039.05,538222,999166144.0,2.64,-1.81,-19.4,1.73
143,2010-10-25,1051.98,1073.15,1076.67,1034.94,468306,874475200.0,3.97,2.18,22.93,1.51
144,2010-10-26,1078.44,1058.45,1093.13,1051.98,422300,795987328.0,3.83,-1.37,-14.7,1.36
145,2010-10-27,1054.34,1052.57,1083.14,1040.23,395032,739953152.0,4.05,-0.56,-5.88,1.27
146,2010-10-28,1054.92,1064.92,1072.56,1044.93,384631,719877440.0,2.63,1.17,12.35,1.24
147,2010-10-29,1066.09,1043.75,1067.27,1039.64,358577,663509376.0,2.59,-1.99,-21.17,1.15
148,2010-11-01,1048.46,1053.16,1063.74,1044.93,591273,1097857664.0,1.8,0.9,9.41,1.9
149,2010-11-02,1053.16,1058.45,1069.62,1040.23,639817,1190657920.0,2.79,0.5,5.29,2.06
150,2010-11-03,1056.69,1081.38,1096.66,1043.75,910796,1727427712.0,5.0,2.17,22.93,2.93
151,2010-11-04,1074.32,1073.73,1087.25,1063.74,613458,1160505984.0,2.17,-0.71,-7.65,1.98
152,2010-11-05,1084.32,1074.32,1089.61,1066.09,503959,953355904.0,2.19,0.05,0.59,1.62
153,2010-11-08,1076.67,1086.67,1101.36,1076.67,625194,1197820416.0,2.3,1.15,12.35,2.01
154,2010-11-09,1087.84,1057.86,1089.02,1054.92,566926,1066476288.0,3.14,-2.65,-28.81,1.83
155,2010-11-10,1051.4,1027.29,1051.98,1025.53,571205,1042355968.0,2.5,-2.89,-30.57,1.84
156,2010-11-11,1031.41,1045.52,1058.45,1024.36,679687,1241063168.0,3.32,1.77,18.23,2.19
157,2010-11-12,1032.0,972.04,1036.7,968.51,616257,1095115008.0,6.52,-7.03,-73.48,1.98
158,2010-11-15,975.56,979.09,979.68,960.28,439918,754704064.0,2.0,0.73,7.05,1.42
159,2010-11-16,978.5,943.23,978.5,940.88,442667,749307648.0,3.84,-3.66,-35.86,1.43
160,2010-11-17,935.59,949.11,964.98,932.06,339274,571087168.0,3.49,0.62,5.88,1.09
161,2010-11-18,956.75,971.45,976.74,952.05,437340,745421248.0,2.6,2.35,22.34,1.41
162,2010-11-19,972.62,961.46,973.8,936.77,433015,730445056.0,3.81,-1.03,-9.99,1.39
163,2010-11-22,949.11,942.06,952.05,937.35,353499,591130240.0,1.53,-2.02,-19.4,1.14
164,2010-11-23,936.18,934.41,943.23,916.78,329385,540215936.0,2.81,-0.81,-7.65,1.06
165,2010-11-24,928.54,946.76,954.99,926.19,318367,531391648.0,3.08,1.32,12.35,1.03
166,2010-11-25,949.7,957.93,967.92,937.35,382940,645536512.0,3.23,1.18,11.17,1.23
167,2010-11-26,956.75,942.64,956.75,940.29,237031,396929824.0,1.72,-1.6,-15.29,0.76
168,2010-11-29,936.77,944.41,953.81,930.3,200640,333489664.0,2.49,0.19,1.77,0.65
169,2010-11-30,940.29,925.01,948.52,912.66,282621,464292192.0,3.8,-2.05,-19.4,0.91
170,2010-12-01,925.01,930.89,935.0,919.72,154273,253584576.0,1.65,0.64,5.88,0.5
171,2010-12-02,943.82,932.06,948.52,930.3,202700,336507104.0,1.96,0.13,1.17,0.65
172,2010-12-03,935.0,935.59,940.29,928.54,157006,259727664.0,1.26,0.38,3.53,0.51
173,2010-12-06,937.35,945.58,953.81,931.48,217924,364205376.0,2.39,1.07,9.99,0.7
174,2010-12-07,942.64,945.0,950.87,926.77,199545,331262912.0,2.55,-0.06,-0.58,0.64
175,2010-12-08,943.23,930.89,945.58,928.54,172886,286846720.0,1.8,-1.49,-14.11,0.56
176,2010-12-09,929.71,914.43,930.89,913.84,240294,391356096.0,1.83,-1.77,-16.46,0.77
177,2010-12-10,913.84,922.07,924.42,907.96,198341,322263488.0,1.8,0.84,7.64,0.64
178,2010-12-13,922.66,938.53,939.71,917.37,280804,461224128.0,2.42,1.79,16.46,0.9
179,2010-12-14,938.53,933.83,940.29,930.3,237517,392885312.0,1.06,-0.5,-4.7,0.76
180,2010-12-15,937.35,936.77,949.11,932.06,281277,467398016.0,1.83,0.31,2.94,0.91
181,2010-12-16,938.53,928.54,944.41,927.36,220556,365485600.0,1.82,-0.88,-8.23,0.71
182,2010-12-17,928.54,922.66,931.48,919.13,173021,283291968.0,1.33,-0.63,-5.88,0.56
183,2010-12-20,925.01,909.73,927.95,901.5,256205,414236384.0,2.87,-1.4,-12.93,0.83
184,2010-12-21,912.08,935.59,940.29,906.2,306854,503881600.0,3.75,2.84,25.86,0.99
185,2010-12-22,937.94,915.6,939.12,913.84,227036,371863968.0,2.7,-2.14,-19.99,0.73
186,2010-12-24,913.84,927.95,937.35,910.9,286127,469742368.0,2.89,1.35,12.35,0.92
187,2010-12-27,938.53,906.2,945.0,903.26,308658,505246592.0,4.5,-2.34,-21.75,0.99
188,2010-12-28,906.79,899.14,915.02,899.14,265566,426320128.0,1.75,-0.78,-7.06,0.86
189,2010-12-29,899.14,888.56,900.91,878.57,236833,372484736.0,2.48,-1.18,-10.58,0.76
190,2010-12-30,888.56,882.68,890.33,873.28,178267,278979200.0,1.92,-0.66,-5.88,0.57
191,2010-12-31,883.27,889.74,894.44,877.98,240891,378317760.0,1.86,0.8,7.06,0.78
192,2011-01-04,891.5,903.26,912.66,881.51,358841,573343744.0,3.5,1.52,13.52,1.16
193,2011-01-05,901.5,897.97,909.73,896.79,237463,379869056.0,1.43,-0.59,-5.29,0.76
194,2011-01-06,897.97,890.91,906.79,884.45,206531,327148864.0,2.49,-0.79,-7.06,0.67
195,2011-01-07,890.33,926.19,947.94,884.45,770482,1263299328.0,7.13,3.96,35.28,2.48
196,2011-01-10,915.6,900.91,925.6,896.2,361872,584172480.0,3.17,-2.73,-25.28,1.17
197,2011-01-11,896.2,913.25,919.13,895.03,208201,335260352.0,2.68,1.37,12.34,0.67
198,2011-01-12,915.6,925.6,926.77,908.55,277133,451290816.0,2.0,1.35,12.35,0.89
199,2011-01-13,930.3,922.07,934.41,920.31,194811,319664064.0,1.52,-0.38,-3.53,0.63
200,2011-01-14,919.13,901.5,919.13,900.91,206915,332810208.0,1.98,-2.23,-20.57,0.67
201,2011-01-17,890.91,865.64,897.97,864.46,266165,415802336.0,3.72,-3.98,-35.86,0.86
202,2011-01-18,866.81,863.29,869.75,858.58,155555,238789232.0,1.29,-0.27,-2.35,0.5
203,2011-01-19,863.87,872.1,873.87,856.82,167945,258415152.0,1.98,1.02,8.81,0.54
204,2011-01-20,871.52,838.6,871.52,838.6,287579,435524160.0,3.77,-3.84,-33.5,0.93
