,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
205,2011-01-21,835.66,852.12,878.57,835.07,229977,349887104.0,5.19,1.61,13.52,0.74
206,2011-01-24,852.12,846.24,855.06,840.36,153827,231930928.0,1.73,-0.69,-5.88,0.5
207,2011-01-25,849.77,853.29,857.41,843.3,134201,203198256.0,1.67,0.83,7.05,0.43
208,2011-01-26,852.12,858.58,860.93,850.94,105060,160007840.0,1.17,0.62,5.29,0.34
209,2011-01-27,852.12,862.7,866.81,843.3,255511,389319904.0,2.74,0.48,4.12,0.82
210,2011-01-28,862.11,855.06,864.46,846.83,185419,281316480.0,2.04,-0.89,-7.64,0.6
211,2011-01-31,855.06,861.52,862.7,848.59,140245,213770064.0,1.65,0.76,6.46,0.45
212,2011-02-01,862.11,869.16,872.1,858.58,151698,233656080.0,1.57,0.89,7.64,0.49
213,2011-02-09,863.87,858.0,875.63,856.82,166508,255979312.0,2.16,-1.28,-11.16,0.54
214,2011-02-10,858.0,869.75,870.93,855.06,136822,210138992.0,1.85,1.37,11.75,0.44
215,2011-02-11,865.64,872.69,877.98,860.93,225828,348149600.0,1.96,0.34,2.94,0.73
216,2011-02-14,872.1,902.08,907.37,871.52,417657,661743872.0,4.11,3.37,29.39,1.34
217,2011-02-15,902.67,891.5,906.79,890.91,321099,512496480.0,1.76,-1.17,-10.58,1.03
218,2011-02-16,890.91,895.03,899.14,885.62,183206,289815296.0,1.52,0.4,3.53,0.59
219,2011-02-17,899.73,900.91,912.08,892.68,253810,405836832.0,2.17,0.66,5.88,0.82
220,2011-02-18,896.2,900.91,907.96,890.33,228802,363416320.0,1.96,0.0,0.0,0.74
221,2011-02-21,890.33,900.32,902.08,887.39,316543,502016608.0,1.63,-0.07,-0.59,1.02
222,2011-02-22,900.91,870.93,901.5,870.34,343959,538516416.0,3.46,-3.26,-29.39,1.11
223,2011-02-23,872.1,877.39,885.62,870.93,357434,555794816.0,1.69,0.74,6.46,1.15
224,2011-02-24,877.39,876.22,877.98,866.81,202308,313473088.0,1.27,-0.13,-1.17,0.65
225,2011-02-25,879.16,895.62,912.08,870.34,509264,807238720.0,4.76,2.21,19.4,1.64
226,2011-02-28,890.91,897.97,900.91,880.33,307637,486809440.0,2.3,0.26,2.35,0.99
227,2011-03-01,899.14,904.43,913.25,894.44,482776,774219072.0,2.09,0.72,6.46,1.55
228,2011-03-02,899.14,912.66,919.72,896.79,488107,786881408.0,2.54,0.91,8.23,1.57
229,2011-03-03,913.84,925.6,947.35,912.66,980489,1616932480.0,3.8,1.42,12.94,3.16
230,2011-03-04,928.54,942.06,946.17,920.31,505396,833234944.0,2.79,1.78,16.46,1.63
231,2011-03-07,947.94,945.58,959.1,934.41,497625,834013056.0,2.62,0.37,3.52,1.6
232,2011-03-08,945.58,940.29,952.64,935.59,321813,537368704.0,1.8,-0.56,-5.29,1.04
233,2011-03-09,943.23,942.64,953.23,942.06,323648,542959232.0,1.19,0.25,2.35,1.04
234,2011-03-10,937.35,916.78,937.35,915.02,308494,504165760.0,2.37,-2.74,-25.86,0.99
235,2011-03-11,912.66,905.02,919.13,903.85,230167,371901344.0,1.67,-1.28,-11.76,0.74
236,2011-03-14,902.08,912.08,913.25,901.5,218000,350756128.0,1.3,0.78,7.06,0.7
237,2011-03-15,903.26,892.68,907.96,884.45,284381,451454528.0,2.58,-2.13,-19.4,0.92
238,2011-03-16,893.85,899.14,902.08,886.8,242076,384301440.0,1.71,0.72,6.46,0.78
239,2011-03-17,891.5,885.04,896.2,883.27,207262,327039744.0,1.44,-1.57,-14.1,0.67
240,2011-03-18,895.62,892.09,895.62,887.39,145243,229686240.0,0.93,0.8,7.05,0.47
241,2011-03-21,890.33,888.56,895.62,885.62,160158,252850944.0,1.12,-0.4,-3.53,0.52
242,2011-03-22,892.09,902.67,905.02,881.51,251944,401085856.0,2.65,1.59,14.11,0.81
243,2011-03-23,899.73,907.96,910.9,897.38,226799,363809600.0,1.5,0.59,5.29,0.73
244,2011-03-24,907.37,900.91,907.96,899.14,160125,256090880.0,0.97,-0.78,-7.05,0.52
245,2011-03-25,900.91,917.37,922.07,899.73,360863,585086400.0,2.48,1.83,16.46,1.16
246,2011-03-28,923.83,921.48,938.53,920.89,367932,605067456.0,1.92,0.45,4.11,1.18
247,2011-03-29,923.25,931.48,946.17,920.31,482587,798647424.0,2.81,1.09,10.0,1.55
248,2011-03-30,930.3,924.42,943.23,922.66,275077,453620672.0,2.21,-0.76,-7.06,0.89
249,2011-03-31,924.42,906.79,929.12,902.67,213368,345191104.0,2.86,-1.91,-17.63,0.69
250,2011-04-01,906.79,935.59,936.18,906.2,323240,530034240.0,3.31,3.18,28.8,1.04
251,2011-04-06,937.35,960.87,965.57,937.35,745244,1263488256.0,3.02,2.7,25.28,2.4
252,2011-04-07,960.87,972.62,982.62,952.05,648811,1112314112.0,3.18,1.22,11.75,2.09
253,2011-04-08,970.27,970.86,974.98,958.52,268118,458985760.0,1.69,-0.18,-1.76,0.86
254,2011-04-11,971.45,962.63,993.2,960.87,563818,974852480.0,3.33,-0.85,-8.23,1.82
255,2011-04-12,966.75,964.4,981.44,959.1,386182,662860224.0,2.32,0.18,1.77,1.24
256,2011-04-13,960.87,1022.59,1022.59,954.4,723851,1268537472.0,7.07,6.03,58.19,2.33
257,2011-04-14,1047.28,1030.82,1054.92,1025.53,1049251,1921868288.0,2.87,0.8,8.23,3.38
258,2011-04-15,1032.0,1062.57,1064.92,1028.47,670794,1242600448.0,3.54,3.08,31.75,2.16
259,2011-04-18,1059.04,1070.8,1071.38,1046.11,580149,1082012928.0,2.38,0.77,8.23,1.87
260,2011-04-19,1056.69,1044.93,1063.74,1039.05,525777,975147520.0,2.31,-2.42,-25.87,1.69
